"Boys Names in Ireland with 3 or More Occurrences (Number) by Name and"
"Year"

"Joshua",..,..,..,..,..,..,..,..,..,..,4,3,..,..,..,..,4,4,..,3,7,8,3,15,24,27,42,51,52,86,94,123,139,341,311,302,260,259,249,210,198,203
"Mark",279,318,383,457,601,626,670,748,824,927,979,863,916,864,919,878,814,789,784,865,858,825,831,744,583,627,624,555,488,462,502,445,469,265,264,254,250,195,177,175,148,129
"Harry",..,3,6,3,5,5,..,..,5,4,6,3,..,..,3,8,5,3,3,4,5,7,8,4,3,11,12,21,21,40,29,29,48,193,251,276,305,364,499,510,430,398
"Fionn",..,..,..,..,..,..,..,5,3,..,..,4,5,..,7,..,5,7,4,8,10,10,10,15,13,29,21,18,29,27,40,54,50,195,246,239,249,265,255,292,304,270
"Joseph",737,705,680,612,599,536,483,508,474,458,462,389,396,411,374,421,446,426,449,453,411,386,409,395,333,294,293,251,285,269,241,256,268,195,242,268,247,227,214,196,207,197
"Callum",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3,..,7,7,3,8,11,25,31,368,239,224,301,293,245,215,181,214
"Samuel",18,27,25,22,18,17,16,18,12,21,22,25,15,17,26,28,23,29,22,16,34,18,31,22,48,69,61,91,67,91,86,103,103,224,225,218,238,227,230,213,217,193
"Charlie",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4,..,..,..,..,..,..,..,..,..,10,4,15,17,218,221,292,312,376,396,432,383,389
"Nathan",..,..,..,..,3,..,..,..,..,4,6,5,5,11,9,8,11,9,15,8,7,13,14,13,23,38,58,71,102,104,142,161,174,255,215,245,253,297,282,295,236,255
"Cathal",32,31,55,58,54,73,68,90,119,114,108,123,103,119,112,156,135,115,134,123,134,126,116,145,128,142,155,155,173,145,164,197,243,219,210,233,195,202,208,160,156,121
"Kyle",..,..,..,..,..,..,..,..,..,..,..,..,..,..,5,..,..,..,..,3,3,9,22,32,30,19,34,52,52,53,69,100,134,202,210,223,216,232,242,252,228,222
"Robert",342,353,317,332,479,420,448,481,472,466,450,437,457,470,555,579,670,658,661,615,573,500,522,510,485,481,459,455,453,399,331,343,336,206,207,172,203,198,169,175,175,154
"Ciaran",124,124,125,120,111,161,166,173,183,216,180,193,181,207,222,253,297,288,359,307,285,344,295,347,291,286,287,303,287,269,297,327,306,227,200,217,170,166,155,143,107,137
