"Registered Births in Ireland (Number) by Name and Year"

" ","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"Dara",32,35,49,59,54,70,80,78,86,93,99,106,108,111,94,106,99,102
"Isaac",..,..,..,..,..,..,..,..,..,..,..,..,..,..,95,80,101,100
"Shay",10,6,6,12,17,16,23,28,39,47,..,77,99,72,..,104,97,98
"Billy",12,23,16,25,30,25,54,61,59,54,..,67,61,77,76,66,81,97
"Kai",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,90,111,90
"Tyler",8,9,14,14,14,13,14,33,27,52,48,56,95,127,195,116,103,90
"Lucas",7,13,11,11,17,16,15,28,49,78,73,102,97,96,109,130,110,89
"Anthony",99,123,118,115,103,94,81,89,104,113,101,100,90,94,77,100,89,88
"Henry",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,85,88
"Martin",87,90,104,91,85,86,88,86,91,109,99,106,95,89,91,81,81,88
"Christopher",167,186,159,174,150,138,142,132,144,130,149,141,113,117,105,112,114,87
"Kevin",233,211,264,220,214,180,166,152,159,179,152,174,119,143,112,108,98,86
"Lorcan",39,50,55,57,51,40,66,50,57,64,..,82,74,70,..,61,76,86
"Cormac",91,115,126,113,127,118,147,183,185,153,167,158,137,141,116,115,102,84
"George",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,82
"Hugo",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,80,80
"Tomas",31,33,39,49,49,46,72,74,68,73,88,99,90,81,86,93,86,79
"Daithi",0,0,6,0,8,11,9,16,23,49,52,60,77,78,..,69,..,78
"Josh",33,42,58,70,109,118,134,142,114,126,114,129,114,99,103,83,94,78
"Brian",181,197,204,197,179,169,165,169,145,156,172,113,96,88,90,81,..,76
"Edward",58,70,65,75,62,70,63,58,53,85,85,75,72,85,84,77,..,76
"Sebastian",0,8,0,7,7,11,10,12,21,48,53,52,79,88,..,73,91,74
"Killian",94,100,105,121,100,101,96,120,127,130,132,104,125,113,104,88,99,73
"Ruairi",29,40,46,46,49,59,57,68,78,74,93,92,89,86,99,81,84,73
"Daire",36,33,44,50,40,59,63,66,63,52,..,70,73,66,..,56,..,71
"Luca",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,78,71
"Rhys",19,26,43,30,45,30,48,54,58,99,131,105,122,120,124,98,80,71
"Kian",5,14,50,106,86,106,102,91,77,72,..,79,60,77,..,42,..,..
"Jakub",0,0,0,0,0,0,0,8,39,68,138,157,133,139,106,99,94,..
"Jonathan",51,57,77,66,66,64,61,70,56,67,..,65,62,51,..,47,..,..
"Zach",..,..,..,..,..,..,..,..,..,..,62,..,..,82,93,68,..,..
"Daragh",45,52,64,71,55,69,71,72,48,66,..,75,44,45,..,38,..,..
"Kacper",0,0,0,0,0,0,0,5,17,66,..,79,69,73,79,67,..,..
"Hugh",40,45,43,39,48,54,66,62,56,65,76,82,59,79,..,73,..,..
"Colin",70,71,70,58,43,75,99,59,71,64,..,60,50,41,..,30,..,..
"Craig",120,133,140,185,111,111,91,71,77,64,..,33,39,23,..,24,..,..
"Richard",68,91,64,78,66,50,51,54,45,62,..,50,58,51,..,38,..,..
"Owen",55,65,62,67,65,53,67,67,68,59,..,63,60,52,..,39,..,..
"Connor",69,35,44,49,61,80,75,49,65,57,..,60,56,51,..,31,..,..
"Tristan",16,11,22,24,31,30,28,45,62,54,..,64,62,54,..,45,..,..
"Darren",139,142,133,110,87,80,87,76,71,53,..,54,58,47,..,48,..,..
"Denis",32,40,38,39,54,41,39,37,48,52,..,39,36,41,..,40,..,..
"Patryk",0,0,0,0,0,0,0,13,20,52,..,77,76,58,..,32,..,..
"Philip",49,73,75,52,37,45,41,42,56,51,..,48,45,35,..,43,..,..
"Simon",46,43,44,45,36,46,49,43,49,48,..,33,36,50,..,36,..,..
"Filip",0,0,0,0,0,0,0,9,19,47,82,93,108,96,104,69,..,..
"Gerard",58,70,60,46,52,33,42,38,40,47,..,26,26,31,..,31,..,..
"Karl",74,85,54,74,43,56,59,68,55,47,..,31,25,19,..,15,..,..
"Eric",66,55,54,45,59,40,58,59,43,46,..,51,58,49,..,48,..,..
"Seamus",45,42,48,43,51,40,39,41,37,44,..,44,35,44,..,36,..,..
"Brendan",60,66,73,59,65,75,57,51,55,43,..,36,45,42,..,30,..,..
"Shaun",49,55,47,50,31,49,45,38,29,42,..,24,14,22,..,13,..,..
"Steven",53,47,53,33,50,39,34,42,38,42,..,39,24,21,..,15,..,..
"Marcus",16,24,22,24,20,35,32,22,34,37,..,26,35,40,..,34,..,..
"Keith",88,79,61,81,71,64,43,44,38,35,..,31,22,12,..,10,..,..
"Dillon",48,59,45,37,37,48,33,32,25,33,..,31,27,36,..,28,..,..
"Glen",46,44,37,37,25,30,30,37,18,30,..,15,9,19,..,6,..,..
"Szymon",0,0,0,0,0,0,0,0,16,30,..,76,62,65,..,38,..,..
"Barry",53,56,57,43,37,35,44,36,36,28,..,25,16,21,..,11,..,..
"Declan",44,45,44,40,41,37,45,36,36,27,..,32,33,28,..,22,..,..
"Emmet",45,26,41,38,34,38,32,33,30,27,..,31,24,28,..,17,..,..
"Jordan",270,308,315,249,171,114,60,37,33,27,..,29,16,20,..,28,..,..
"Donal",48,52,41,37,33,31,31,43,36,26,..,40,33,36,..,29,..,..
"Ian",90,90,70,65,73,56,38,46,39,26,..,33,19,16,..,17,..,..
"Gary",69,82,58,50,64,41,50,27,36,24,..,30,17,26,..,10,..,..
"Neil",35,47,46,32,34,32,28,26,24,24,..,11,25,14,..,13,..,..
"Emmanuel",5,10,10,28,44,57,46,26,30,19,..,31,30,14,..,9,..,..
"Kayden",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,82,..,..
"Paul",183,189,182,165,154,137,167,145,125,111,113,104,87,81,..,53,..,..
"Calum",13,13,20,10,37,46,46,110,179,159,128,82,77,89,..,35,..,..
"Stephen",306,285,250,263,201,214,205,170,165,131,154,104,89,99,84,89,..,..
"Gavin",142,110,126,124,121,113,123,115,95,123,..,91,62,49,..,49,..,..
"Alan",140,122,134,113,110,91,86,98,83,121,116,138,114,103,108,104,82,..
"Jason",184,201,191,160,183,140,155,116,126,117,123,109,98,114,94,86,..,..
"Lee",143,143,158,158,153,147,161,162,138,114,..,87,96,67,..,52,..,..
"Niall",174,197,199,179,175,128,152,147,126,99,98,112,83,91,86,87,85,..
"Dean",200,214,157,221,157,147,124,118,106,94,..,97,68,54,..,40,..,..
"Colm",82,117,89,87,83,86,88,74,97,85,..,76,47,54,..,59,..,..
"Diarmuid",39,51,62,67,75,56,68,84,69,85,..,42,65,49,..,40,..,..
"Christian",35,29,42,33,40,51,64,69,62,81,..,76,61,61,..,32,..,..
"Louis",20,28,32,46,32,39,52,50,48,81,..,71,58,53,..,55,..,..
"Oran",23,43,27,53,50,77,67,81,64,81,93,87,99,96,150,73,76,..
"Padraig",77,98,70,73,65,68,72,75,83,81,..,75,69,72,..,54,..,..
"Charles",23,32,35,48,39,48,64,62,79,79,..,76,65,73,..,66,..,..
"Ross",171,155,124,106,85,94,139,115,83,76,..,97,69,68,..,69,..,..
"Cameron",29,47,61,44,49,57,51,47,70,75,..,75,74,63,..,63,..,..
"Kieran",81,81,109,85,94,87,89,70,57,75,..,42,52,46,..,42,..,..
"Brandon",67,89,88,67,92,80,85,63,84,74,..,59,62,40,..,49,..,..
"Reece",35,47,51,68,52,59,45,48,61,73,..,46,63,54,..,46,..,..

